Month,Day,Hour,Count
11,0,10,182
11,0,11,130
11,0,12,185
11,0,13,190
11,0,14,160
11,0,15,135
11,0,16,124
11,0,17,155
11,0,18,225
11,0,19,216
11,0,20,237
11,0,21,121
11,0,22,75
11,0,23,78
11,1,0,58
11,1,1,45
11,1,2,31
11,1,3,26
11,1,4,11
11,1,5,62
11,1,6,111
11,1,7,179
11,1,8,242
11,1,9,196
11,1,10,112
11,1,11,95
11,1,12,195
11,1,13,154
11,1,14,110
11,1,15,86
11,1,16,51
11,1,17,115
11,1,18,154
11,1,19,164
11,1,20,123
11,1,21,98
11,1,22,59
11,1,23,51
11,2,0,43
11,2,1,32
11,2,2,37
11,2,3,25
11,2,4,15
11,2,5,39
11,2,6,40
11,2,7,100
11,2,8,163
11,2,9,147
11,2,10,100
11,2,11,111
11,2,12,80
